iter	RMSE
0	5.263403193
1	5.2402309
2	5.216683355
3	5.197600585
4	5.192462304
5	5.165475408
6	5.141147055
7	5.121424303
8	5.106918818
9	5.091201345
10	5.073071372
11	5.070415152
12	5.048237318
13	5.040225941
14	5.012916547
15	5.002911516
16	4.983823151
17	4.969073356
18	4.947991989
19	4.927957402
20	4.918234329
21	4.904253307
22	4.887079224
23	4.878306773
24	4.860054207
25	4.84577547
26	4.83355465
27	4.824257299
28	4.812221518
29	4.804718623
30	4.80329855
31	4.799762679
32	4.791699102
33	4.776283183
34	4.766432193
35	4.762320245
36	4.754960773
37	4.743003402
38	4.742700935
39	4.732014193
40	4.717402153
41	4.710511801
42	4.699603639
43	4.689255201
44	4.686978577
45	4.680722915
46	4.669780236
47	4.666373262
48	4.654982619
49	4.642349681
50	4.636029738
51	4.631876237
52	4.628738759
53	4.622841726
54	4.61541255
55	4.606412934
56	4.598277536
57	4.589754512
58	4.583235755
59	4.578343028
60	4.57250484
61	4.567715203
62	4.561187258
63	4.554234837
64	4.54766812
65	4.541038465
66	4.536515916
67	4.533296748
68	4.528110663
69	4.519671995
70	4.519105181
71	4.514570775
72	4.507311726
73	4.501797414
74	4.496213275
75	4.49468086
76	4.492216911
77	4.48917975
78	4.48563807
79	4.480625907
80	4.475646165
81	4.469263727
82	4.464303308
83	4.461017242
84	4.457929198
85	4.450404996
86	4.446385704
87	4.445282437
88	4.439651815
89	4.436565607
90	4.430883458
91	4.424935168
92	4.422806756
93	4.415402016
94	4.409130147
95	4.407477316
96	4.403255012
97	4.398678354
98	4.391669557
99	4.38622837
100	4.383254696
101	4.380195644
102	4.374449443
103	4.370282784
104	4.368770808
105	4.364421186
106	4.360965932
107	4.355756551
108	4.350458428
109	4.346576176
110	4.342235648
111	4.340155936
112	4.335743761
113	4.333310143
114	4.331827017
115	4.326259304
116	4.322797763
117	4.319407667
118	4.315640885
119	4.314581744
120	4.309200009
121	4.304913523
122	4.302997826
123	4.299344997
124	4.296019007
125	4.290485856
126	4.284820374
127	4.27972898
128	4.275175103
129	4.271718435
130	4.267566812
131	4.262730387
132	4.259778024
133	4.258289323
134	4.256981886
135	4.253354885
136	4.2484476
137	4.246671209
138	4.242136347
139	4.237805135
140	4.236424821
141	4.233349961
142	4.229505041
143	4.228180514
144	4.224611512
145	4.220584111
146	4.216522211
147	4.212430647
148	4.208117785
149	4.202860795
150	4.198335783
151	4.197689409
152	4.193224121
153	4.189203028
154	4.184254184
155	4.180103856
156	4.176059265
157	4.171354157
158	4.166937611
159	4.165031391
160	4.161924057
161	4.158656696
162	4.154967272
163	4.150119832
164	4.146749937
165	4.143216055
166	4.140291093
167	4.13669745
168	4.13211721
169	4.128393186
170	4.124666354
171	4.121011332
172	4.116953063
173	4.113133574
174	4.109115201
175	4.105558945
176	4.102242525
177	4.09867199
178	4.093809316
179	4.089664539
180	4.087146712
181	4.08445908
182	4.079622423
183	4.076221031
184	4.072104726
185	4.06843182
186	4.064618385
187	4.061167759
188	4.056954125
189	4.053432538
190	4.049995713
191	4.045685753
192	4.041945333
193	4.038690683
194	4.035370801
195	4.03192564
196	4.028246749
197	4.023086908
198	4.019949952
199	4.016908667
200	4.013844921
201	4.010066368
202	4.006573402
203	4.003699447
204	3.999144944
205	3.99652595
206	3.993850695
207	3.989859718
208	3.986672607
209	3.983325345
210	3.980846218
211	3.977467946
212	3.974086492
213	3.97138438
214	3.968078261
215	3.965322778
216	3.962050233
217	3.959271918
218	3.95638839
219	3.953706512
220	3.950771101
221	3.947713086
222	3.944919917
223	3.942217161
224	3.940184534
225	3.937480912
226	3.934602845
227	3.931343108
228	3.929379883
229	3.926686535
230	3.922648493
231	3.919757839
232	3.916455585
233	3.913955549
234	3.911029889
235	3.908445977
236	3.906544903
237	3.903563531
238	3.901264821
239	3.897532592
240	3.895000021
241	3.891708002
242	3.888888721
243	3.886526464
244	3.883570818
245	3.881113047
246	3.878980114
247	3.876590481
248	3.874941815
249	3.871661085
250	3.869802027
251	3.867834201
252	3.865255649
253	3.862618725
254	3.859842299
255	3.856873536
256	3.854430868
257	3.85169426
258	3.848728156
259	3.846941773
260	3.845016927
261	3.843109917
262	3.840752973
263	3.837835958
264	3.833995706
265	3.831436134
266	3.828708263
267	3.825608608
268	3.823780772
269	3.82154625
270	3.818856511
271	3.816508576
272	3.813817693
273	3.811293599
274	3.808929474
275	3.806441124
276	3.804221015
277	3.801282007
278	3.799140481
279	3.796839672
280	3.79500183
281	3.792547652
282	3.788561168
283	3.785343874
284	3.782470786
285	3.780597255
286	3.77772409
287	3.775950612
288	3.773935419
289	3.771048862
290	3.769563181
291	3.766518838
292	3.7638657
293	3.762123054
294	3.759938148
295	3.757372557
296	3.755551875
297	3.752969294
298	3.750703346
299	3.74858372
300	3.747031008
301	3.744960207
302	3.742876505
303	3.740552229
304	3.739262519
305	3.737375767
306	3.735572609
307	3.733089451
308	3.730874896
309	3.729290125
310	3.727008873
311	3.724878677
312	3.722701786
313	3.720123609
314	3.718507467
315	3.716264722
316	3.714154166
317	3.712078758
318	3.710263943
319	3.708206333
320	3.705654196
321	3.70428204
322	3.70257299
323	3.70084096
324	3.699254039
325	3.697490444
326	3.695374108
327	3.693136862
328	3.691427289
329	3.690160343
330	3.688913562
331	3.687199759
332	3.685632435
333	3.683592848
334	3.681560395
335	3.680124311
336	3.678661901
337	3.67733632
338	3.675526315
339	3.674053704
340	3.672511935
341	3.671198652
342	3.670015314
343	3.66793239
344	3.666547592
345	3.665423409
346	3.662987854
347	3.661782315
348	3.660144787
349	3.657921377
350	3.655803626
351	3.653774827
352	3.652299931
353	3.650540423
354	3.647702916
355	3.645812999
356	3.643925945
357	3.642665144
358	3.640593484
359	3.63816411
360	3.63639757
361	3.633999082
362	3.632498942
363	3.630804449
364	3.628509292
365	3.626316722
366	3.624288178
367	3.622808488
368	3.620387564
369	3.61878743
370	3.616886423
371	3.614423182
372	3.612573034
373	3.611130398
374	3.609939072
375	3.607989519
376	3.606329744
377	3.605198621
378	3.603264179
379	3.601181315
380	3.600148769
381	3.598377731
382	3.59684992
383	3.595045803
384	3.593603987
385	3.591731814
386	3.589513692
387	3.587809875
388	3.586019622
389	3.58397528
390	3.582310193
391	3.580876216
392	3.579181586
393	3.577631131
394	3.575860294
395	3.57422091
396	3.571764253
397	3.569664926
398	3.5686505
399	3.567529347
400	3.565640436
401	3.563845597
402	3.561818398
403	3.56044907
404	3.558816946
405	3.557860658
406	3.557039746
407	3.554890524
408	3.55309006
409	3.551347639
410	3.549681889
411	3.548418937
412	3.547423284
413	3.545887447
414	3.544043237
415	3.542602661
416	3.540857906
417	3.539600955
418	3.538558773
419	3.536745657
420	3.535110019
421	3.533502864
422	3.532104098
423	3.530435086
424	3.528746676
425	3.527444954
426	3.525319453
427	3.52390441
428	3.522883313
429	3.52197619
430	3.520434324
431	3.518944442
432	3.517250452
433	3.515333444
434	3.51375903
435	3.511596713
436	3.509830727
437	3.508497522
438	3.507103074
439	3.505985558
440	3.504207489
441	3.502753434
442	3.501429198
443	3.499121504
444	3.497689826
445	3.496139752
446	3.494641993
447	3.492772644
448	3.490885733
449	3.489306955
450	3.488087985
451	3.486911849
452	3.485505709
453	3.484417168
454	3.483116176
455	3.481570571
456	3.480583717
457	3.479275148
458	3.47792114
459	3.476796272
460	3.475503339
461	3.473426625
462	3.472078086
463	3.470774038
464	3.468749893
465	3.467251005
466	3.465599206
467	3.464122868
468	3.462753949
469	3.460656301
470	3.45911091
471	3.45758062
472	3.456091636
473	3.454533205
474	3.453321886
475	3.451786293
476	3.450078647
477	3.448647502
478	3.44707981
479	3.445899887
480	3.444458172
481	3.443165828
482	3.441783309
483	3.44071771
484	3.439472186
485	3.438230431
486	3.437418079
487	3.436097163
488	3.435231979
489	3.433517395
490	3.432342381
491	3.430580987
492	3.429577797
493	3.428244032
494	3.426333718
495	3.425063883
496	3.423588837
497	3.422460994
498	3.420789788
499	3.419398846
